epoch,train_loss,train_accuracy,train_error,test_loss,test_accuracy,test_error
1,2.618204,0.098350,0.901650,2.387480,0.110250,0.889750
2,2.369222,0.102400,0.897600,2.333118,0.095750,0.904250
3,2.351561,0.102900,0.897100,2.266136,0.122750,0.877250
4,2.345904,0.104000,0.896000,2.288773,0.101750,0.898250
5,2.335396,0.105400,0.894600,2.277624,0.106750,0.893250
6,2.337479,0.108600,0.891400,2.240772,0.160500,0.839500
7,2.332911,0.110150,0.889850,2.253113,0.130000,0.870000
8,2.333319,0.103550,0.896450,2.235594,0.171250,0.828750
9,2.326001,0.113950,0.886050,2.255888,0.157500,0.842500
10,2.317728,0.114400,0.885600,2.220718,0.166250,0.833750
